Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): testingLargerRadiusPPO
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): radius is larger so less sparse and want to see if A2C works better than PPO
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): PPO
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
Episode:14 Score:98526.75 Successful:True Number of Steps:276
Episode:15 Score:96133.5 Successful:True Number of Steps:335
Episode:16 Score:99049.75 Successful:True Number of Steps:48
Episode:17 Score:-5488.0 Successful:False Number of Steps:500
Episode:18 Score:99028.75 Successful:True Number of Steps:66
Episode:19 Score:-10327.75 Successful:False Number of Steps:500
Episode:20 Score:-2282.0 Successful:False Number of Steps:500
Episode:21 Score:98842.75 Successful:True Number of Steps:298
Episode:22 Score:99608.0 Successful:True Number of Steps:225
Episode:23 Score:97336.0 Successful:True Number of Steps:370
Episode:24 Score:-1526.5 Successful:False Number of Steps:500
Episode:25 Score:98291.0 Successful:True Number of Steps:344
Episode:26 Score:-5513.75 Successful:False Number of Steps:500
Episode:27 Score:96104.5 Successful:True Number of Steps:253
Episode:28 Score:99174.0 Successful:True Number of Steps:253
Episode:29 Score:-2926.5 Successful:False Number of Steps:500
Episode:30 Score:99290.75 Successful:True Number of Steps:220
number successful: 20
RESULTS FOR STARTING POSITION: (18,4)
Episode:1 Score:-1859.75 Successful:False Number of Steps:500
Episode:2 Score:99968.5 Successful:True Number of Steps:27
Episode:3 Score:99974.0 Successful:True Number of Steps:23
Episode:4 Score:99922.75 Successful:True Number of Steps:59
Episode:5 Score:99928.75 Successful:True Number of Steps:68
Episode:6 Score:99976.25 Successful:True Number of Steps:34
Episode:7 Score:99936.25 Successful:True Number of Steps:94
Episode:8 Score:99326.5 Successful:True Number of Steps:451
Episode:9 Score:99928.0 Successful:True Number of Steps:68
Episode:10 Score:99908.25 Successful:True Number of Steps:97
Episode:11 Score:99900.5 Successful:True Number of Steps:67
Episode:12 Score:99987.25 Successful:True Number of Steps:15
Episode:13 Score:99768.0 Successful:True Number of Steps:168
Episode:14 Score:-1400.5 Successful:False Number of Steps:500
Episode:15 Score:-560.5 Successful:False Number of Steps:500
Episode:16 Score:-1074.0 Successful:False Number of Steps:500
Episode:17 Score:99549.25 Successful:True Number of Steps:132
Episode:18 Score:99991.25 Successful:True Number of Steps:19
Episode:19 Score:99953.25 Successful:True Number of Steps:52
Episode:20 Score:99988.25 Successful:True Number of Steps:20
Episode:21 Score:99995.25 Successful:True Number of Steps:16
Episode:22 Score:97851.75 Successful:True Number of Steps:476
Episode:23 Score:99994 Successful:True Number of Steps:7
Episode:24 Score:99888.5 Successful:True Number of Steps:26
Episode:25 Score:-3502.25 Successful:False Number of Steps:500
Episode:26 Score:99969.0 Successful:True Number of Steps:38
Episode:27 Score:99977.25 Successful:True Number of Steps:39
Episode:28 Score:-4682.0 Successful:False Number of Steps:500
Episode:29 Score:99660.5 Successful:True Number of Steps:278
Episode:30 Score:99935.25 Successful:True Number of Steps:61
number successful: 24
--------------------------------
average percent successful (APS): 0.7533333333333333
average number of steps of episodes that succeeded (ANSES): 151.358407079646
