Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): df
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): sf
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): sadf
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:27 Score:-4199.258660409485 Successful:False Number of Steps:500
Episode:28 Score:-4247.178905223471 Successful:False Number of Steps:500
Episode:29 Score:-4565.486610980498 Successful:False Number of Steps:500
Episode:30 Score:-4486.340020999178 Successful:False Number of Steps:500
number successful: 5
RESULTS FOR STARTING POSITION: (28,27)
Episode:1 Score:-8833.045230822263 Successful:False Number of Steps:500
Episode:2 Score:-4441.597338587875 Successful:False Number of Steps:500
Episode:3 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:4 Score:-7572.9907405508275 Successful:False Number of Steps:500
Episode:5 Score:-7404.620679917661 Successful:False Number of Steps:500
Episode:6 Score:-9037.41792222669 Successful:False Number of Steps:500
Episode:7 Score:-5461.78760167418 Successful:False Number of Steps:500
Episode:8 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:9 Score:-5406.864964780801 Successful:False Number of Steps:500
Episode:10 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:11 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:12 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:13 Score:-5201.180717602688 Successful:False Number of Steps:500
Episode:14 Score:-6542.663365285595 Successful:False Number of Steps:500
Episode:15 Score:-5749.834127436216 Successful:False Number of Steps:500
Episode:16 Score:-3883.942026938961 Successful:False Number of Steps:500
Episode:17 Score:-3461.461449210627 Successful:False Number of Steps:500
Episode:18 Score:-2270.8129373801708 Successful:False Number of Steps:500
Episode:19 Score:-6973.353590048109 Successful:False Number of Steps:500
Episode:20 Score:-3377.7256796389993 Successful:False Number of Steps:500
Episode:21 Score:-5539.413750419908 Successful:False Number of Steps:500
Episode:22 Score:-4687.8542318315895 Successful:False Number of Steps:500
Episode:23 Score:-6397.074588437219 Successful:False Number of Steps:500
Episode:24 Score:-5807.479112940265 Successful:False Number of Steps:500
Episode:25 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:26 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:27 Score:-3323.8507722438517 Successful:False Number of Steps:500
Episode:28 Score:-1540.1535206976178 Successful:False Number of Steps:500
Episode:29 Score:-4920.30393884344 Successful:False Number of Steps:500
Episode:30 Score:-8231.949022962854 Successful:False Number of Steps:500
number successful: 0
--------------------------------
average percent successful (APS): 0.17333333333333334
average number of steps of episodes that succeeded (ANSES): 143.26923076923077
