Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): 
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): 
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): 
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:2 Score:-3800.4962737137366 Successful:False Number of Steps:500
Episode:3 Score:-3682.842900577583 Successful:False Number of Steps:500
Episode:4 Score:-3086.466145465222 Successful:False Number of Steps:500
Episode:5 Score:-4735.552749935026 Successful:False Number of Steps:500
Episode:6 Score:-3615.154131221158 Successful:False Number of Steps:500
Episode:7 Score:-3250.8724302466553 Successful:False Number of Steps:500
Episode:8 Score:-9768.588193458441 Successful:False Number of Steps:500
Episode:9 Score:-3815.909826120623 Successful:False Number of Steps:500
Episode:10 Score:-4443.526664919147 Successful:False Number of Steps:500
Episode:11 Score:-3936.2560130419006 Successful:False Number of Steps:500
Episode:12 Score:-3448.977659544672 Successful:False Number of Steps:500
Episode:13 Score:-4382.587844409026 Successful:False Number of Steps:500
Episode:14 Score:-4652.9447109128205 Successful:False Number of Steps:500
Episode:15 Score:-3400.325432869306 Successful:False Number of Steps:500
Episode:16 Score:-9563.255937327249 Successful:False Number of Steps:500
Episode:17 Score:-3709.4418610497414 Successful:False Number of Steps:500
Episode:18 Score:-3199.2567431236084 Successful:False Number of Steps:500
Episode:19 Score:-7286.7410554229 Successful:False Number of Steps:500
Episode:20 Score:-3992.871974026554 Successful:False Number of Steps:500
Episode:21 Score:96751.89390478369 Successful:True Number of Steps:363
Episode:22 Score:-3729.0582222100466 Successful:False Number of Steps:500
Episode:23 Score:-2903.520979768438 Successful:False Number of Steps:500
Episode:24 Score:-3920.211741668619 Successful:False Number of Steps:500
Episode:25 Score:-4084.827097273607 Successful:False Number of Steps:500
Episode:26 Score:-3945.670314965178 Successful:False Number of Steps:500
Episode:27 Score:-3786.1286521166007 Successful:False Number of Steps:500
Episode:28 Score:-4558.314341373244 Successful:False Number of Steps:500
Episode:29 Score:-2989.774892584048 Successful:False Number of Steps:500
Episode:30 Score:-4100.458198657092 Successful:False Number of Steps:500
number successful: 1
RESULTS FOR STARTING POSITION: (0,23)
Episode:1 Score:-3499.854013160523 Successful:False Number of Steps:500
Episode:2 Score:-3450.756945007946 Successful:False Number of Steps:500
Episode:3 Score:-3933.7030484250263 Successful:False Number of Steps:500
Episode:4 Score:-3581.6841697486875 Successful:False Number of Steps:500
Episode:5 Score:-2912.667868046984 Successful:False Number of Steps:500
Episode:6 Score:-4223.668602470216 Successful:False Number of Steps:500
Episode:7 Score:-4112.779116480032 Successful:False Number of Steps:500
Episode:8 Score:-3034.9756916406523 Successful:False Number of Steps:500
Episode:9 Score:-4210.371043219373 Successful:False Number of Steps:500
Episode:10 Score:-3583.680050337164 Successful:False Number of Steps:500
Episode:11 Score:-3212.571455776683 Successful:False Number of Steps:500
Episode:12 Score:-3813.9701035230264 Successful:False Number of Steps:500
Episode:13 Score:-3454.4266058120306 Successful:False Number of Steps:500
Episode:14 Score:-3843.915986451709 Successful:False Number of Steps:500
Episode:15 Score:-3875.342544310354 Successful:False Number of Steps:500
Episode:16 Score:-3663.5956776728303 Successful:False Number of Steps:500
Episode:17 Score:-2763.8897169804804 Successful:False Number of Steps:500
Episode:18 Score:-3616.318003851042 Successful:False Number of Steps:500
Episode:19 Score:-2635.7461703943327 Successful:False Number of Steps:500
Episode:20 Score:-4039.0735244172474 Successful:False Number of Steps:500
Episode:21 Score:-3136.89432273191 Successful:False Number of Steps:500
Episode:22 Score:-3490.2072282750264 Successful:False Number of Steps:500
Episode:23 Score:-3701.820923464986 Successful:False Number of Steps:500
Episode:24 Score:-3662.676943933568 Successful:False Number of Steps:500
Episode:25 Score:-3320.6259077954896 Successful:False Number of Steps:500
Episode:26 Score:-3267.99385204469 Successful:False Number of Steps:500
Episode:27 Score:-4055.8076104577112 Successful:False Number of Steps:500
Episode:28 Score:-3046.0137140793368 Successful:False Number of Steps:500
Episode:29 Score:-4002.7709697329337 Successful:False Number of Steps:500
Episode:30 Score:-4247.624752565967 Successful:False Number of Steps:500
number successful: 0
--------------------------------
average percent successful (APS): 0.5
average number of steps of episodes that succeeded (ANSES): 51.92
